pair_key,drug_1_id,drug_1_name,drug_2_id,drug_2_name,twosides_num_signals,twosides_max_prr,twosides_mean_prr,twosides_total_coreports,twosides_mean_report_freq,twosides_found,twosides_top_condition,twosides_mapping_source,twosides_mapping_status
DB00002||DB00252,DB00002,Cetuximab,DB00252,Phenytoin,41,20.0,7.162733170731707,58.0,0.054409,1,Cardiac failure,exact_name,mapped
DB00002||DB00364,DB00002,Cetuximab,DB00364,Sucralfate,44,40.0,7.0312018181818186,56.0,0.04242421363636364,1,Dysphagia,exact_name,mapped
DB00002||DB00762,DB00002,Cetuximab,DB00762,Irinotecan,1079,270.0,4.910647057460611,6982.0,0.0028331029471733086,1,Dermatitis acneiform,exact_name,mapped
DB00002||DB00764,DB00002,Cetuximab,DB00764,Mometasone,14,10.0,6.892857142857143,15.0,0.09740259285714285,1,Infusion related reaction,exact_name,mapped
DB00002||DB00773,DB00002,Cetuximab,DB00773,Etoposide,5,30.0,12.666666000000001,7.0,0.09333336,1,Hypokalaemia,exact_name,mapped
DB00002||DB11089,DB00002,Cetuximab,DB11089,Docusate,232,140.0,6.939340965517242,666.0,0.015860157844827586,1,Mucosal inflammation,exact_name,mapped
DB00003||DB00158,DB00003,Dornase alfa,DB00158,Folic acid,23,20.0,8.57608652173913,29.0,0.09006212173913043,1,Chest discomfort,exact_name,mapped
DB00003||DB00338,DB00003,Dornase alfa,DB00338,Omeprazole,130,50.0,5.961999338461538,288.0,0.02032462346153846,1,Aphagia,exact_name,mapped
DB00005||DB00017,DB00005,Etanercept,DB00017,Salmon calcitonin,80,40.0,8.4077018375,118.0,0.049166635,1,Rheumatoid arthritis,exact_name,mapped
DB00005||DB00065,DB00005,Etanercept,DB00065,Infliximab,1416,150.0,5.1109819463276835,7927.0,0.002917229830508475,1,Pustular psoriasis,exact_name,mapped
DB00005||DB00200,DB00005,Etanercept,DB00200,Hydroxocobalamin,24,10.0,6.903769583333333,28.0,0.0614035,1,Eosinophilia,exact_name,mapped
DB00005||DB00328,DB00005,Etanercept,DB00328,Indomethacin,467,50.0,4.741717685224839,1078.0,0.0067103244967880084,1,Pneumocystis jiroveci pneumonia,exact_name,mapped
DB00005||DB00512,DB00005,Etanercept,DB00512,Vancomycin,178,140.0,10.457170303370788,368.0,0.03758936573033708,1,Staphylococcal infection,exact_name,mapped
DB00005||DB00557,DB00005,Etanercept,DB00557,Hydroxyzine,353,30.0,5.089695940509915,895.0,0.010975797337110483,1,Gastric ulcer,exact_name,mapped
DB00005||DB00836,DB00005,Etanercept,DB00836,Loperamide,148,40.0,6.733953283783784,261.0,0.02939190675675676,1,Tachycardia,exact_name,mapped
DB00005||DB00999,DB00005,Etanercept,DB00999,Hydrochlorothiazide,1194,60.0,4.706525217755444,5825.0,0.0033761651239530986,1,Congenital cystic kidney disease,exact_name,mapped
DB00005||DB01036,DB00005,Etanercept,DB01036,Tolterodine,190,30.0,5.472316252631579,331.0,0.018533038421052632,1,Injection site haematoma,exact_name,mapped
DB00005||DB01233,DB00005,Etanercept,DB01233,Metoclopramide,300,30.0,5.534218403333333,636.0,0.015820902466666665,1,Metastases to liver,exact_name,mapped
DB00005||DB08895,DB00005,Etanercept,DB08895,Tofacitinib,343,85.0,8.724777577259475,1349.0,0.017249759008746354,1,Arthropathy,exact_name,mapped
DB00005||DB09140,DB00005,Etanercept,DB09140,Oxygen,112,30.0,7.360880633928572,186.0,0.032563,1,Neuropathy peripheral,exact_name,mapped
DB00006||DB00264,DB00006,Bivalirudin,DB00264,Metoprolol,171,60.0,7.1388917309941515,423.0,0.02011125192982456,1,Ventricular tachycardia,exact_name,mapped
DB00007||DB00230,DB00007,Leuprolide,DB00230,Pregabalin,251,50.0,7.039469936254981,551.0,0.019256316812749006,1,Endometriosis,exact_name,mapped
DB00007||DB00421,DB00007,Leuprolide,DB00421,Spironolactone,261,40.0,5.914357145593869,484.0,0.015849617662835252,1,Arrhythmia,exact_name,mapped
DB00007||DB00519,DB00007,Leuprolide,DB00519,Trandolapril,16,20.0,6.6197912500000005,18.0,0.08035715,1,Myocardial infarction,exact_name,mapped
DB00007||DB00635,DB00007,Leuprolide,DB00635,Prednisone,781,100.0,6.825763053777209,3123.0,0.0070399989116517285,1,Metastases to bone,exact_name,mapped
DB00007||DB00788,DB00007,Leuprolide,DB00788,Naproxen,344,40.0,6.26341599127907,807.0,0.013718890261627908,1,Prostatic specific antigen increased,exact_name,mapped
DB00007||DB00842,DB00007,Leuprolide,DB00842,Oxazepam,40,30.0,6.278579775,52.0,0.0464286,1,Hyponatraemia,exact_name,mapped
